price_in_rp,building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age
2000000000.0,71.0,118.0,2.0,3.0,3.0,
625000000.0,48.0,75.0,1.0,2.0,1.0,0.0
1000000000.0,196.0,150.0,2.0,4.0,2.0,22.0
9000000000.0,500.0,939.0,1.0,36.0,36.0,
1600000000.0,100.0,119.0,2.0,2.0,2.0,5.0
680000000.0,36.0,72.0,1.0,2.0,1.0,
490000000.0,45.0,72.0,1.0,2.0,1.0,1.0
665000000.0,54.0,97.0,1.0,3.0,1.0,0.0
445000000.0,54.0,97.0,1.0,2.0,1.0,0.0
570000000.0,54.0,97.0,1.0,2.0,1.0,0.0
1050000000.0,84.0,119.0,1.0,2.0,1.0,1.0
1500000000.0,180.0,250.0,1.0,2.0,1.0,11.0
665000000.0,54.0,97.0,1.0,3.0,1.0,0.0
665000000.0,54.0,97.0,1.0,3.0,1.0,0.0
950000000.0,87.0,66.0,2.0,3.0,2.0,
650000000.0,60.0,72.0,1.0,2.0,1.0,0.0
975000000.0,60.0,120.0,1.0,3.0,1.0,6.0
799000000.0,70.0,97.0,1.0,2.0,1.0,
3700000000.0,300.0,216.0,3.0,3.0,4.0,10.0
950000000.0,87.0,66.0,2.0,3.0,2.0,
350000000.0,36.0,60.0,1.0,2.0,1.0,0.0
524000000.0,66.0,40.0,1.0,2.0,1.0,0.0
325000000.0,45.0,60.0,1.0,2.0,1.0,0.0
325000000.0,45.0,60.0,1.0,2.0,1.0,0.0
335000000.0,45.0,60.0,1.0,3.0,1.0,
310000000.0,45.0,60.0,1.0,2.0,1.0,
1500000000.0,88.0,120.0,1.0,3.0,2.0,
1500000000.0,88.0,120.0,1.0,3.0,2.0,
6640000000.0,39.0,72.0,1.0,2.0,1.0,0.0
327000000.0,61.0,36.0,1.0,2.0,1.0,0.0
332000000.0,61.0,36.0,1.0,2.0,1.0,0.0
395000000.0,40.0,60.0,1.0,2.0,1.0,
168000000.0,29.0,60.0,1.0,2.0,1.0,0.0
480000000.0,72.0,72.0,1.0,2.0,1.0,22.0
395000000.0,40.0,60.0,1.0,2.0,1.0,4.0
360000000.0,62.0,62.0,1.0,2.0,1.0,
350000000.0,45.0,72.0,1.0,2.0,1.0,
